plm,dataset,feature_set,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,pr_auc_chance
ESM2,full,diff_bos,0.2906382446673533,0.017907388532260468,0.5557417943607249,0.016287413182103475,0.25067980965329706
ESM2,full,diff_eos,0.29041956317115714,0.015985047375446506,0.5518269909924778,0.015374530206313628,0.25067980965329706
ESM2,full,diff_mutpos,0.2916516097615043,0.013135345655610262,0.5592151771509362,0.014196305938934638,0.25067980965329706
ESM2,full,diff_mean,0.29723371455069597,0.015220897903673737,0.561015315471137,0.01902001744172741,0.25067980965329706
ESM2,full,confound_baseline,0.44939252876197466,0.01925923738266101,0.6983273855936721,0.010735281924836379,0.25067980965329706
ESM2,full,substitution_baseline,0.2750801327113437,0.00912869998441744,0.543208419379728,0.008719544115173198,0.25067980965329706
ESM2,9mer,diff_bos,0.35118859036432476,0.01840453412911068,0.5278436022137589,0.025708362722311414,0.33202486097481193
ESM2,9mer,diff_eos,0.3377175285317878,0.013681692629021977,0.5107503228269619,0.026012970843580445,0.33202486097481193
ESM2,9mer,diff_mutpos,0.34971427015609013,0.018155706075299042,0.5135717680238538,0.025426985733244766,0.33202486097481193
ESM2,9mer,diff_mean,0.3432834008653308,0.018475851620015273,0.5101468541068431,0.022701483479350738,0.33202486097481193
ESM2,9mer,confound_baseline,0.4871466152512888,0.025155766802639774,0.6589890247924801,0.021308322960437186,0.33202486097481193
ESM2,9mer,substitution_baseline,0.373980154465534,0.01328631224139084,0.5487221586340963,0.023978044734916517,0.33202486097481193
ESM2,9mer_HLA_A02,diff_bos,0.43318097312347703,0.05366874361869841,0.5485352179609396,0.034926654052659885,0.3780487804878049
ESM2,9mer_HLA_A02,diff_eos,0.38858564307304316,0.02797758853352528,0.5252623006125692,0.016838344843220058,0.3780487804878049
ESM2,9mer_HLA_A02,diff_mutpos,0.3996512215562841,0.040525420611882905,0.5154811513166996,0.036859543819991285,0.3780487804878049
ESM2,9mer_HLA_A02,diff_mean,0.4068128707664457,0.06152049666781872,0.5008094376728283,0.030651941158486896,0.3780487804878049
ESM2,9mer_HLA_A02,confound_baseline,0.3780110497237569,0.02160749063534413,0.5,0.0,0.3780487804878049
ESM2,9mer_HLA_A02,substitution_baseline,0.4009285968819336,0.04508130562115977,0.5159164347228036,0.03195708946294703,0.3780487804878049
