dataset,feature_set,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,pr_auc_chance
full,presentation_only,0.3268724077688402,0.0065686321704600485,0.6271313509738056,0.010323723127322038,0.25067980965329706
full,diff_eos,0.3250951961701028,0.017242143393208547,0.5773554238356726,0.020373865712095474,0.25067980965329706
full,diff_eos_pres,0.3389179457709498,0.028341310169204076,0.6061820754417426,0.031233492296415942,0.25067980965329706
full,diff_mutpos,0.3417122570506181,0.02217385300012648,0.5998098041188442,0.01454633705503231,0.25067980965329706
full,diff_mutpos_pres,0.3615187777684537,0.01472613928497931,0.6359696888509907,0.013927530327085831,0.25067980965329706
full,diff_mean,0.34598544642135654,0.030311503203896778,0.6031106219630761,0.02720523065446313,0.25067980965329706
full,diff_mean_pres,0.3557254833161571,0.02492946136317793,0.6254512370208596,0.019149303735911952,0.25067980965329706
